begin_time,end_time,filename,call_length,label
0.0,2.0,20090328_000000_002s3ms_TRAIN0_0,2.0,0
0.0,2.0,20090328_000000_010s8ms_TRAIN1_0,2.0,0
0.0,2.0,20090328_000000_021s6ms_TRAIN2_0,2.0,0
0.0,2.0,20090328_000000_059s0ms_TRAIN3_0,2.0,0
0.0,2.0,20090328_000000_068s4ms_TRAIN4_0,2.0,0
0.0,2.0,20090328_000000_076s8ms_TRAIN5_0,2.0,0
0.0,2.0,20090328_000000_090s4ms_TRAIN6_0,2.0,0
0.0,2.0,20090328_000000_095s6ms_TRAIN7_0,2.0,0
0.0,2.0,20090328_000000_103s2ms_TRAIN8_0,2.0,0
0.0,2.0,20090328_000000_107s4ms_TRAIN9_0,2.0,0
0.0,2.0,20090328_000000_118s3ms_TRAIN10_0,2.0,0
0.0,2.0,20090328_000000_120s9ms_TRAIN11_0,2.0,0
0.0,2.0,20090328_000000_154s6ms_TRAIN12_0,2.0,0
0.0,2.0,20090328_000000_167s1ms_TRAIN13_0,2.0,0
0.0,2.0,20090328_000000_169s5ms_TRAIN14_0,2.0,0
0.0,2.0,20090328_000000_174s0ms_TRAIN15_0,2.0,0
0.0,2.0,20090328_000000_189s6ms_TRAIN16_1,2.0,1
0.0,2.0,20090328_000000_210s2ms_TRAIN17_0,2.0,0
0.0,2.0,20090328_000000_213s2ms_TRAIN18_0,2.0,0
0.0,2.0,20090328_000000_215s2ms_TRAIN19_0,2.0,0
0.0,2.0,20090328_000000_220s7ms_TRAIN20_0,2.0,0
0.0,2.0,20090328_000000_222s8ms_TRAIN21_0,2.0,0
0.0,1.9795,20090328_000000_228s2ms_TRAIN22_0,1.9795,0
0.0,2.0,20090328_000000_230s0ms_TRAIN23_0,2.0,0
0.0,2.0,20090328_000000_234s0ms_TRAIN24_0,2.0,0
0.0,2.0,20090328_000000_236s4ms_TRAIN25_1,2.0,1
0.0,2.0,20090328_000000_246s0ms_TRAIN26_0,2.0,0
0.0,2.0,20090328_000000_256s8ms_TRAIN27_0,2.0,0
0.0,2.0,20090328_000000_260s7ms_TRAIN28_0,2.0,0
0.0,2.0,20090328_000000_264s9ms_TRAIN29_0,2.0,0
0.0,2.0,20090328_000000_273s9ms_TRAIN30_0,2.0,0
0.0,2.0,20090328_000000_288s1ms_TRAIN31_0,2.0,0
0.0,2.0,20090328_000000_301s9ms_TRAIN32_0,2.0,0
0.0,2.0,20090328_000000_316s7ms_TRAIN33_0,2.0,0
0.0,2.0,20090328_000000_324s7ms_TRAIN34_0,2.0,0
0.0,2.0,20090328_000000_347s8ms_TRAIN35_0,2.0,0
0.0,2.0,20090328_000000_349s8ms_TRAIN36_0,2.0,0
0.0,2.0,20090328_000000_354s3ms_TRAIN37_0,2.0,0
0.0,2.0,20090328_000000_359s0ms_TRAIN38_0,2.0,0
0.0,2.0,20090328_000000_361s2ms_TRAIN39_0,2.0,0
0.0,2.0,20090328_000000_367s7ms_TRAIN40_0,2.0,0
0.0,2.0,20090328_000000_379s1ms_TRAIN41_0,2.0,0
0.0,2.0,20090328_000000_399s4ms_TRAIN42_1,2.0,1
0.0,1.685,20090328_000000_405s8ms_TRAIN43_0,1.685,0
0.0,2.0,20090328_000000_412s5ms_TRAIN45_0,2.0,0
0.0,2.0,20090328_000000_426s8ms_TRAIN46_0,2.0,0
0.0,2.0,20090328_000000_439s6ms_TRAIN47_1,2.0,1
0.0,2.0,20090328_000000_451s6ms_TRAIN48_1,2.0,1
0.0,2.0,20090328_000000_458s2ms_TRAIN49_0,2.0,0
0.0,2.0,20090328_000000_477s8ms_TRAIN50_0,2.0,0
0.0,1.8845,20090328_000000_479s2ms_TRAIN51_0,1.8845,0
0.0,2.0,20090328_000000_483s1ms_TRAIN52_0,2.0,0
0.0,2.0,20090328_000000_488s0ms_TRAIN53_0,2.0,0
0.0,2.0,20090328_000000_492s2ms_TRAIN54_0,2.0,0
0.0,2.0,20090328_000000_493s9ms_TRAIN55_0,2.0,0
0.0,2.0,20090328_000000_496s9ms_TRAIN56_0,2.0,0
0.0,2.0,20090328_000000_498s3ms_TRAIN57_0,2.0,0
0.0,2.0,20090328_000000_502s7ms_TRAIN58_0,2.0,0
0.0,2.0,20090328_000000_506s9ms_TRAIN59_0,2.0,0
0.0,2.0,20090328_000000_517s6ms_TRAIN60_0,2.0,0
0.0,1.7,20090328_000000_521s3ms_TRAIN61_0,1.7,0
0.0,2.0,20090328_000000_522s8ms_TRAIN62_0,2.0,0
0.0,2.0,20090328_000000_528s0ms_TRAIN63_0,2.0,0
0.0,1.97,20090328_000000_529s7ms_TRAIN64_0,1.97,0
0.0,2.0,20090328_000000_531s9ms_TRAIN65_0,2.0,0
0.0,2.0,20090328_000000_533s7ms_TRAIN66_0,2.0,0
0.0,2.0,20090328_000000_536s0ms_TRAIN67_0,2.0,0
0.0,2.0,20090328_000000_538s1ms_TRAIN68_0,2.0,0
0.0,2.0,20090328_000000_541s6ms_TRAIN69_0,2.0,0
0.0,2.0,20090328_000000_545s0ms_TRAIN70_0,2.0,0
